model,reasoning,qtype,n,n_wrong,error_rate,parse_failures,off_by_one
claude-haiku-4.5,cot,COUNT,80,0,0.0,0,0
claude-haiku-4.5,cot,LOOKUP,80,0,0.0,0,0
claude-haiku-4.5,cot,NEIGHBOR,80,0,0.0,0,0
claude-haiku-4.5,cot,POINT,80,1,0.0125,0,0
claude-haiku-4.5,cot,ROWMAX,80,4,0.05,0,1
claude-haiku-4.5,direct,COUNT,80,29,0.3625,0,28
claude-haiku-4.5,direct,LOOKUP,80,7,0.0875,0,0
claude-haiku-4.5,direct,NEIGHBOR,80,2,0.025,0,0
claude-haiku-4.5,direct,POINT,80,6,0.075,0,0
claude-haiku-4.5,direct,ROWMAX,80,43,0.5375,0,17
gpt-4.1-mini,cot,COUNT,80,1,0.0125,0,1
gpt-4.1-mini,cot,LOOKUP,80,1,0.0125,0,0
gpt-4.1-mini,cot,NEIGHBOR,80,0,0.0,0,0
gpt-4.1-mini,cot,POINT,80,0,0.0,0,0
gpt-4.1-mini,cot,ROWMAX,80,0,0.0,0,0
gpt-4.1-mini,direct,COUNT,80,54,0.675,0,50
gpt-4.1-mini,direct,LOOKUP,80,0,0.0,0,0
gpt-4.1-mini,direct,NEIGHBOR,80,4,0.05,0,0
gpt-4.1-mini,direct,POINT,80,0,0.0,0,0
gpt-4.1-mini,direct,ROWMAX,80,10,0.125,0,8
