model,K,n_paired,direct_acc,cot_acc,b_direct_only,c_cot_only,mcnemar_p
claude-haiku-4.5,0,80,0.65,0.9375,2,25,5.647540092468262e-06
claude-haiku-4.5,1,80,0.7,1.0,0,24,1.1920928955078125e-07
claude-haiku-4.5,2,80,0.7625,1.0,0,19,3.814697265625e-06
claude-haiku-4.5,4,80,0.875,1.0,0,10,0.001953125
claude-haiku-4.5,8,80,0.925,1.0,0,6,0.03125
gpt-4.1-mini,0,80,0.7875,1.0,0,17,1.52587890625e-05
gpt-4.1-mini,1,80,0.8125,0.9875,1,15,0.000518798828125
gpt-4.1-mini,2,80,0.825,0.9875,0,13,0.000244140625
gpt-4.1-mini,4,80,0.85,1.0,0,12,0.00048828125
gpt-4.1-mini,8,80,0.875,1.0,0,10,0.001953125
