model,reasoning,K,n,acc,ci_lo,ci_hi,mean_out_tokens
claude-haiku-4.5,cot,0,80,0.9375,0.875,0.9875,199.85
claude-haiku-4.5,cot,1,80,1.0,1.0,1.0,178.75
claude-haiku-4.5,cot,2,80,1.0,1.0,1.0,177.575
claude-haiku-4.5,cot,4,80,1.0,1.0,1.0,178.8875
claude-haiku-4.5,cot,8,80,1.0,1.0,1.0,181.8
claude-haiku-4.5,direct,0,80,0.65,0.5496875000000001,0.7625,10.7625
claude-haiku-4.5,direct,1,80,0.7,0.6,0.8,8.725
claude-haiku-4.5,direct,2,80,0.7625,0.675,0.85,7.5375
claude-haiku-4.5,direct,4,80,0.875,0.8,0.9375,5.6375
claude-haiku-4.5,direct,8,80,0.925,0.875,0.975,5.6375
gpt-4.1-mini,cot,0,80,1.0,1.0,1.0,142.1125
gpt-4.1-mini,cot,1,80,0.9875,0.9625,1.0,121.1
gpt-4.1-mini,cot,2,80,0.9875,0.9625,1.0,123.2875
gpt-4.1-mini,cot,4,80,1.0,1.0,1.0,119.8
gpt-4.1-mini,cot,8,80,1.0,1.0,1.0,114.25
gpt-4.1-mini,direct,0,80,0.7875,0.7,0.875,2.0
gpt-4.1-mini,direct,1,80,0.8125,0.7125,0.9,2.0
gpt-4.1-mini,direct,2,80,0.825,0.7375,0.9,2.0
gpt-4.1-mini,direct,4,80,0.85,0.7625,0.925,1.9375
gpt-4.1-mini,direct,8,80,0.875,0.8,0.9375,2.0
