model,reasoning,K,qtype,n,acc,ci_lo,ci_hi
claude-haiku-4.5,cot,0,COUNT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,0,LOOKUP,16,1.0,1.0,1.0
claude-haiku-4.5,cot,0,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,cot,0,POINT,16,0.9375,0.8125,1.0
claude-haiku-4.5,cot,0,ROWMAX,16,0.75,0.5,0.9375
claude-haiku-4.5,cot,1,COUNT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,1,LOOKUP,16,1.0,1.0,1.0
claude-haiku-4.5,cot,1,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,cot,1,POINT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,1,ROWMAX,16,1.0,1.0,1.0
claude-haiku-4.5,cot,2,COUNT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,2,LOOKUP,16,1.0,1.0,1.0
claude-haiku-4.5,cot,2,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,cot,2,POINT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,2,ROWMAX,16,1.0,1.0,1.0
claude-haiku-4.5,cot,4,COUNT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,4,LOOKUP,16,1.0,1.0,1.0
claude-haiku-4.5,cot,4,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,cot,4,POINT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,4,ROWMAX,16,1.0,1.0,1.0
claude-haiku-4.5,cot,8,COUNT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,8,LOOKUP,16,1.0,1.0,1.0
claude-haiku-4.5,cot,8,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,cot,8,POINT,16,1.0,1.0,1.0
claude-haiku-4.5,cot,8,ROWMAX,16,1.0,1.0,1.0
claude-haiku-4.5,direct,0,COUNT,16,0.5,0.25,0.75
claude-haiku-4.5,direct,0,LOOKUP,16,0.875,0.6875,1.0
claude-haiku-4.5,direct,0,NEIGHBOR,16,0.875,0.6875,1.0
claude-haiku-4.5,direct,0,POINT,16,0.875,0.75,1.0
claude-haiku-4.5,direct,0,ROWMAX,16,0.125,0.0,0.3125
claude-haiku-4.5,direct,1,COUNT,16,0.5,0.25,0.75
claude-haiku-4.5,direct,1,LOOKUP,16,0.875,0.6875,1.0
claude-haiku-4.5,direct,1,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,direct,1,POINT,16,0.9375,0.8125,1.0
claude-haiku-4.5,direct,1,ROWMAX,16,0.1875,0.0,0.375
claude-haiku-4.5,direct,2,COUNT,16,0.5625,0.3125,0.8125
claude-haiku-4.5,direct,2,LOOKUP,16,0.9375,0.8125,1.0
claude-haiku-4.5,direct,2,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,direct,2,POINT,16,0.9375,0.8125,1.0
claude-haiku-4.5,direct,2,ROWMAX,16,0.375,0.1875,0.625
claude-haiku-4.5,direct,4,COUNT,16,0.75,0.5625,0.9375
claude-haiku-4.5,direct,4,LOOKUP,16,0.9375,0.8125,1.0
claude-haiku-4.5,direct,4,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,direct,4,POINT,16,0.875,0.75,1.0
claude-haiku-4.5,direct,4,ROWMAX,16,0.8125,0.625,1.0
claude-haiku-4.5,direct,8,COUNT,16,0.875,0.6875,1.0
claude-haiku-4.5,direct,8,LOOKUP,16,0.9375,0.8125,1.0
claude-haiku-4.5,direct,8,NEIGHBOR,16,1.0,1.0,1.0
claude-haiku-4.5,direct,8,POINT,16,1.0,1.0,1.0
claude-haiku-4.5,direct,8,ROWMAX,16,0.8125,0.625,1.0
gpt-4.1-mini,cot,0,COUNT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,0,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,cot,0,NEIGHBOR,16,1.0,1.0,1.0
gpt-4.1-mini,cot,0,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,0,ROWMAX,16,1.0,1.0,1.0
gpt-4.1-mini,cot,1,COUNT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,1,LOOKUP,16,0.9375,0.8125,1.0
gpt-4.1-mini,cot,1,NEIGHBOR,16,1.0,1.0,1.0
gpt-4.1-mini,cot,1,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,1,ROWMAX,16,1.0,1.0,1.0
gpt-4.1-mini,cot,2,COUNT,16,0.9375,0.8125,1.0
gpt-4.1-mini,cot,2,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,cot,2,NEIGHBOR,16,1.0,1.0,1.0
gpt-4.1-mini,cot,2,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,2,ROWMAX,16,1.0,1.0,1.0
gpt-4.1-mini,cot,4,COUNT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,4,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,cot,4,NEIGHBOR,16,1.0,1.0,1.0
gpt-4.1-mini,cot,4,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,4,ROWMAX,16,1.0,1.0,1.0
gpt-4.1-mini,cot,8,COUNT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,8,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,cot,8,NEIGHBOR,16,1.0,1.0,1.0
gpt-4.1-mini,cot,8,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,cot,8,ROWMAX,16,1.0,1.0,1.0
gpt-4.1-mini,direct,0,COUNT,16,0.25,0.0625,0.5
gpt-4.1-mini,direct,0,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,direct,0,NEIGHBOR,16,0.875,0.6875,1.0
gpt-4.1-mini,direct,0,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,direct,0,ROWMAX,16,0.8125,0.625,1.0
gpt-4.1-mini,direct,1,COUNT,16,0.3125,0.12343750000000009,0.5625
gpt-4.1-mini,direct,1,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,direct,1,NEIGHBOR,16,0.9375,0.8125,1.0
gpt-4.1-mini,direct,1,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,direct,1,ROWMAX,16,0.8125,0.625,1.0
gpt-4.1-mini,direct,2,COUNT,16,0.25,0.0625,0.5
gpt-4.1-mini,direct,2,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,direct,2,NEIGHBOR,16,1.0,1.0,1.0
gpt-4.1-mini,direct,2,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,direct,2,ROWMAX,16,0.875,0.6875,1.0
gpt-4.1-mini,direct,4,COUNT,16,0.375,0.125,0.625
gpt-4.1-mini,direct,4,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,direct,4,NEIGHBOR,16,0.9375,0.8125,1.0
gpt-4.1-mini,direct,4,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,direct,4,ROWMAX,16,0.9375,0.8125,1.0
gpt-4.1-mini,direct,8,COUNT,16,0.4375,0.1875,0.6875
gpt-4.1-mini,direct,8,LOOKUP,16,1.0,1.0,1.0
gpt-4.1-mini,direct,8,NEIGHBOR,16,1.0,1.0,1.0
gpt-4.1-mini,direct,8,POINT,16,1.0,1.0,1.0
gpt-4.1-mini,direct,8,ROWMAX,16,0.9375,0.8125,1.0
